2018-11-18 13:16:58,191 INFO     Still connected to
2018-11-18 13:16:58,192 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,399 INFO     Received [data  6.59112
 0.31919
 2.10799
]
2018-11-18 13:16:58,400 INFO     Still connected to
2018-11-18 13:16:58,400 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,599 INFO     Received [data  6.29666
-0.36131
 4.51804
]
2018-11-18 13:16:58,600 INFO     Still connected to
2018-11-18 13:16:58,601 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,807 INFO     Received [data  6.36488
-0.48006
 5.86696
]
2018-11-18 13:16:58,807 INFO     Still connected to
2018-11-18 13:16:58,808 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,997 INFO     Received [data  4.69290
-0.24391
 7.01846
]
2018-11-18 13:16:58,997 INFO     Still connected to
2018-11-18 13:16:58,998 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:59,195 INFO     Received [data  9.16195
-0.08327
 4.73768
]
2018-11-18 13:16:59,196 INFO     Still connected to
2018-11-18 13:16:59,197 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:59,407 INFO     Received [data  8.14278
-0.85410
-0.02938
]
2018-11-18 13:16:59,407 INFO     Still connected to
2018-11-18 13:16:59,408 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:59,605 INFO     Received [data  9.04904
-0.25594
 2.67147
]
2018-11-18 13:16:59,606 INFO     Still connected to
2018-11-18 13:16:59,607 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:59,793 INFO     Received [data  6.20814
 0.15059
 4.99341
]
2018-11-18 13:16:59,794 INFO     Still connected to
2018-11-18 13:16:59,794 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,004 INFO     Received [data  5.80892
-3.26504
 5.60177
]
2018-11-18 13:17:00,005 INFO     Still connected to
2018-11-18 13:17:00,005 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,218 INFO     Received [data  5.64645
-2.53012
 5.65249
]
2018-11-18 13:17:00,219 INFO     Still connected to
2018-11-18 13:17:00,219 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,410 INFO     Received [data  4.84904
 0.11400
 5.09095
]
2018-11-18 13:17:00,411 INFO     Still connected to
2018-11-18 13:17:00,412 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,597 INFO     Received [data  5.74718
 0.55528
 4.84892
]
2018-11-18 13:17:00,603 INFO     Still connected to
2018-11-18 13:17:00,604 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:17:00,805 INFO     Received [data  5.06150
-0.17449
 5.19996
]
2018-11-18 13:17:00,806 INFO     Still connected to
